f_id,f_ori_name,sci_name,edible_portion,alcohol (etanol),"energía, total","grasa, total (lipidos totales)","proteina, total",agua (humedad),carbohidratos,"fibra, dietetica total",ácido graso 22:6 n-3 (ácido docosahexaenóico),ácido graso 20:5 (ácido eicosapentaenóico),ácido graso 12:0 (láurico),ácido graso 14:0 (ácido mirístico),ácido graso 16:0 (ácido palmítico),ácido graso 18:0 (ácido esteárico),ácido graso 18:1 n-9 cis (ácido oléico),ácido graso 18:2,ácido graso 18:3,ácido graso 20:4 n-6  (ácido araquidónico),"ácidos grasos, monoinsaturados totales","ácidos grasos, poliinsaturados totales",ácidos grasos saturados totales,"ácidos grasos, trans totales",colesterol,Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,Vitamina D,Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,"folato, total","equivalentes de niacina, totales",riboflavina,tiamina,Vitamina B-12,"Vitamina B-6, Total",Vitamina C (ácido ascórbico),calcio,"hierro, total",potasio,magnesio,sodio,fósforo,ioduro,"selenio, total",zinc (cinc)
680,"Bacón, ahumado, a la parrilla",,1.000000,0,1215.5,22.1,23.4,50.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,2.9,8.3,NA,80,0,0.6,0.07,2,7,0.16,0.9,1,0.46,TR,7,0.7,330,21,1760,190,7,12,2.2
681,"Café, con leche",,1.000000,0,158.069,2.36538,1.7,94,2.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6235,0.0656,1.2032,NA,8,15.8333,0.01,0.04,1.66,0.7,0.08,0.02,0.1,0.01,0.5,55,0.05,90,8,23,42,17.4,2.8,0.18
682,"Bacon, crudo, con grasa separable",,1.000000,0,2276.93,57.5,8.7,33.7,0.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.33,6.75,21.26,NA,100,0.01,0.01,0.23,2,1.8,0.11,0.36,0.8,0.3,0,13,1.2,160,12,680,108,1.2,25,1.8
683,"Batido lácteo de cacao, bajo en calorías",,1.000000,0,201.2,1.9,3.1,90.4,4.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,NA,0,70.3,0.3,0.7,21.1,1.3,0.18,0.1,0.36,0.15,4.2,110,1.1,180.7,24.6,88.3,95,10.6,3.7,0.9
685,"Batido lácteo, de fresa, bajo en calorías",,1.000000,0,466.48,0.34,3.8,72.9,22.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,NA,3.4,70.3,0.3,0.7,21.1,1.3,0.13,0.1,0.2,0.15,4.2,111.6,1.1,180.7,24.6,88.3,52.8,10.6,3.7,0.9
686,"Cabrito, parte s/e, crudo, con grasa separable",,0.700000,0,476.1,4,19.3,76.7,TR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.3,1.5,NA,56,0,0.4,0.09,5,6,0.1,0.32,2,0.3,0,9,0.9,385,22,82,220,5,1,2
687,Callos de ternera,,1.000000,0,396.2,3.95,14.56,80,0,0,0.001,0.006,0.007,0.121,0.861,0.839,0.919,0.06,0.018,0.023,1.31,0.07,2.03,0.1872,95,0,TR,0.08,2,0.06,0.17,0.01,1.54,0.04,TR,9,1.95,270,8,46,79,UD,45.6,2.47
688,"Cerdo, lomo, asado",,1.000000,0,987.016,14.2707,27,56.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,1.6,5.5,NA,75,TR,TR,0.1,4,4.2,0.3,0.52,0.8,0.36,TR,12,1.1,290,20,60,170,3,20,2.4
